channel,date,min,max,mean,stDev
1,2020-06-20,0.0,1.0,0.22456660823242333,0.2912833377948466
1,2020-06-21,0.0,1.0,0.10406716531174512,0.23169408891992763
1,2020-06-22,0.0,1.0,0.06561990707656785,0.15418394651208908
1,2020-06-23,0.0,1.0,0.0850968905509273,0.1866568276128503
1,2020-06-24,0.0,1.0,0.08414865427320575,0.18286191831460294
1,2020-06-25,0.0,1.0,0.16851371864877102,0.23762878788852948
1,2020-06-26,0.0,0.9214521646499634,0.16828506606422755,0.22631039796995014
1,2020-06-27,0.0,0.9470177292823792,0.09335009714931813,0.1808878372038684
1,2020-06-28,0.0,1.0,0.2563949739617462,0.306559847883538
1,2020-06-29,0.0,1.0,0.10812253304152274,0.1915152483409559
1,2020-06-30,0.0,1.0,0.05227456870888971,0.146469201607608
1,2020-07-01,0.0,1.0,0.1569115650308412,0.2878663137508159
1,2020-07-02,0.0,1.0,0.09083407058041477,0.18998372713148995
1,2020-07-03,0.0,1.0,0.11042538915845668,0.20741595344119784
1,2020-07-04,0.0,1.0,0.42100396960192854,0.30870058946285384
1,2020-07-05,0.0,1.0,0.18633990857716623,0.2740768328288618
1,2020-07-06,0.0,1.0,0.06136341577355847,0.16111229103878197
1,2020-07-07,0.0,1.0,0.08988076957982483,0.1967208986579077
1,2020-07-08,0.0,1.0,0.054706864772386295,0.15576142103760143
1,2020-07-09,0.0,1.0,0.1519208487504032,0.20794012058129577
1,2020-07-10,0.0,1.0,0.21867920602856422,0.29258881101740786
1,2020-07-11,0.0,1.0,0.23777795459233103,0.3148681610935904
1,2020-07-12,0.0,1.0,0.16138092141945934,0.29386673508950434
1,2020-07-13,NaN,NaN,NaN,NaN
1,2020-07-14,0.0,1.0,0.09802021947511405,0.21532752725023846
1,2020-07-15,0.0,1.0,0.17901004067844792,0.2932528775880531
1,2020-07-16,0.0,1.0,0.09940916504055829,0.1906166094880397
1,2020-07-17,0.0,0.9340612888336182,0.05382357384418529,0.12669829926674153
1,2020-07-18,0.0,1.0,0.04973515614125066,0.14248535526089526
1,2020-07-19,0.0,1.0,0.10169938282897983,0.24167023434957452
1,2020-07-20,0.0,0.9245776534080505,0.059559333908201006,0.13754388874736898
1,2020-07-21,0.0,1.0,0.14338423338314296,0.2273615446167059
1,2020-07-22,0.0,1.0,0.04580981227503345,0.15358187733885206
1,2020-07-23,0.0,1.0,0.06287469131798637,0.1677618977817454
1,2020-07-24,0.0,1.0,0.18865793221889074,0.28827978290235395
1,2020-07-25,0.0,1.0,0.12956750548864387,0.23760951070633435
